class_id,text
2,"Thank you. So important to not let our like of other aspects of a person (policies, etc.) prevent us from holding them accountable to harms they’ve caused."
2,"Although I agree Gov. Cuomo's behavior seemed inappropriate at times & probably is best if he stepped down, don't think of the accounts I've heard that anything was criminal or against the law. Maybe he will find some other work as he seems like a very decent man. Hoping the new governor Kathy Hochul will do good for the great state of New York."
0,"They elected a man who said he grabbed them by the p***y….yeah, we have a long way to go."
2,I still say he made trump look bad during the first Covid and he's getting payback. I notice that women always believe women. I'm not convinced this time. I think she's (the one all over tv) is collecting a big paycheck. Just my humble opinion.
0,"Well said, the ""lack of transparency"", there is nothing worse than to be blindsided by a system that you trust. It should be a 2 way window with our government and it's; our officials, that we as citizens have elected to speak our voice, on our terms, our agreed terms as citizens. Thank you for your efforts, AOC all the way!"
0,Cuomo - give me a break - the line has moved! Only for you. We women have stood strong for so long along a line that you determined fit your needs. Your line is leading you out the door of the Governor’s mansion and office!!
2,We should also not elect abusers to become president
0,"Trump should have resigned also. Yet his supporters, wealthy white men could not let that happen. Side note, I am truly sorry for the abuse you are enduring from those around you. I bless the path you are on, and admire your perseverance in the face of assault. Be safe. Your life is too precious."
2,"Sometimes people don’t tell the truth, and that’s okay to admit as well. This abuser vs. abused binary is divisive and leaves 0 room for nuance. Sometimes trauma makes us believe something is happening that isn’t actually happening. That’s called psychic equivalence, and it’s a real thing, and it is not victim-blaming.
And no, that’s not the case all the time, but it does happen … a lot. We are entirely abandoning reality with these victim axioms as if there is no way on earth that there’s another side to things. THAT is just as well the first step toward totalitarianism
."
0,"I was so worried about how you would handle this. Need to clarify that you have no real responsibility to be vocal about business that’s not your own however as a political (really in career only…. And I mean that as a compliment) you have been and frequently do voice yourself opinions…. A lot, if not all, are not lunacy and I agree with. But as a fellow Democrat I worried you would stay silent, thank you for being unbiased by party. You are a shining example of how to be a public servant"
0,"And people wonder why victims don’t report right away. The response is so often that they are lying, don’t know how social interaction works, or were asking for the abuse. Can we stop allowing these powerful men to defend themselves on national television in this pathetic and manipulative way?"
2,"Biden said Cuomo did a hell of a job, except personally. There's the way Cuomo governed and another way he acted in a purely personal capacity that had nothing to do with being governor. And ""Our American Cousin"" was a hell of a play and a fine presentation by Ford's theater until John Wilkes Booth interrupted it halfway through. Patrons never even got their money back. And that's what's so sad, as Biden noted."
0,How about trump and Gaetz and Kavanaugh? Why are they not held accountable!?
1,We live in a hypocritical society where we rant against the police for treating certain POC as being guilty before facing justice of his or her peers in the court of law.. Are all not innocent until proven guilty in a court of law?
