class_id,text
0,Thanks for sharing!
0,Tara???
0,My brothers cat giving me some love.
0,Carmenza Torres
0,♥️💋👀
0,Love the mountain dog and his friend ❤ 💕.
0,Awee so sweet. Beautiful babies
0,I love the broth off the dogs they are beautiful look so cute
0,Dalton and Riley!! Xx oo
0,Ils sont adorables.
0,How adorable!
0,Cuties Forever!!❤️💙❤️💙🌹
0,Que lindos ❤️❤️
0,OMG! I love them❤️❤️❤️
0,Adorable
0,So cute
0,Que lindo demais
0,"Beth Janssen Thanks for coming guys, so good to see you and esp your adorable little guy, Monty!!!"
0,Awwwww ❣️
0,me encantan estos perritos siempre unidos como amigos
0,Zuzanna Podolski
0,I'll take 2!
0,Jean Matusiak
0,Myrtha L Martínez
0,Mary Lockwood
0,Mary Lockwood
0,Cassandra Anna Roberts so sweet
0,Zallig
0,Ela Elizabeth
0,Cute
0,Elvia Martinez
0,🎈
0,Tamara Onraedt 😍
0,wow
0,Fauve de Bretagne ?
0,Soraya Monteiro
0,💟💟💟
0,Thank you!
0,Siiiii cierto 😍😍😍
0,Great Danes are desperate to be lap dogs! They ignore the fact that they are the size of a small horse! 🐕🐕❤
0,OMG...I'd hate to have to collect THEIR p**p!!!
0,"OMG, I love the big guys!!"
0,Paricum Ramaswamy
0,Ward😍
0,Looks Like My Emily! Xx oo
0,Amor Monette
0,Cute little snarl!
0,So sweet
0,I love you sweetie!!!
0,"WHAT did you do to startle
this cat ???

I"
0,Hello there cutie pie!Happy Labour Day!
0,Joe Luciani if your were a cat this would be you according to a 14 year kid you know 🤣
0,Lindo demais
0,מקסים
0,Did someone tell this Cat he is going to the Vet? Or he is getting another cat in the house hold? lol
0,Eva Rudigier
0,That face reminds me of wtf look 😂
0,Roberte Oudry
0,Soraya Monteiro
0,Diane Brzowski
0,Melissa Torres
0,"Alina Stegner, Ginga😂"
0,😻😻😻😻
0,Josh Lynn
0,💋♥️👀
0,Lol
0,😂😂
0,Kostas Psillias
0,Absolutely love it
0,Rody Angeles
